name,article,actualname,plural,itemid,objectclass,primarytype,slot,implemented,immobile,walkable,pickupable,levelrequired,vocrequired,imbueslots,upgradeclass,attrib,armor,weight,stackable,marketable,droppedby,value,npcvalue,npcprice,buyfrom,sellto,notes,history,defense,holdsliquid,usable,status,sounds,flavortext,duration,attack,npcvaluerook,npcpricerook,hands,weapontype,enchantable,secondarytype,volume,consumable,regenseconds,defensemod,hangable,range,atk_mod,hit_mod,blockspath,writable,writechars,fansite,words,lightradius,lightcolor,mlrequired,storevalue,damagetype,imbuements,tertiarytype,rewritable,pricecurrency,wrappable,manaleech_ch,manaleech_am,crithit_ch,critextra_dmg,hpleech_ch,hpleech_am,resist,ice_attack,augments,death_attack,fire_attack,earth_attack,manacost,damagerange,energy_attack,elementalbond,charges,destructible,location,mantra,notes2,enchanted,rotatable
Black Pearl,a,black pearl,?,3027,Other Items,Valuables,-,6.0,no,yes,yes,-,-,-,-,-,-,0.20,yes,yes,Abyssal Calamary | Animated Mummy | Arachir the Ancient One | Banshee | Black Vixen | Boreth | Brokul | Bruise Payne | Cave Spider | Chopper | Cliff Strider | Darkfang | Demon Skeleton | Diblis the Fair | Elder Mummy | Emerald Tortoise | Ferumbras | Ferumbras Mortal Shell | Foam Stalker | Frost Flower Asura | Ghazbaran | Golgordan | Gorerilla | Gravelord Oshuran | Hellgorak | Hellhound | Hemming | Hirintror | Ice Golem | Kerberos | Latrivan | Lersatio | Lich | Lost Soul | Maw | Memory of a Vampire | Midnight Asura | Morgaroth | Morguthis | Mummy | Mutated Bat | Ogre Shaman | Oodok Witchmaster | Orc Cult Inquisitor | Orc Cult Priest | Orclops Doomhauler | Orclops Ravager | Orshabaal | Putrid Mummy | Quara Hydromancer | Quara Hydromancer Scout | Renegade Quara Hydromancer | Rustheap Golem | Seacrest Serpent | Shadowpelt | Shaper Matriarch | Shardhead | Sir Valorcrest | Spellreaper Inferniarch | Srezz Yellow Eyes | The Abomination | The Moonlight Aster | The Pale Count | The Plasmother | The Ravager | Thornback Tortoise | True Frost Flower Asura | True Midnight Asura | Undead Dragon | Ushuriel | Usurper Archer | Usurper Warlock | Vampire | Vampire Viscount | Waspoid | Werelioness | Zevelon Duskbringer | Zugurosh | Venerable Foam Stalker,280-560,280,560,"Augustin, Briasol, Chantalle, Edmund, Gail, Hanna, Ishina, Iwan, Jessica, Nienna, Odemara, Oiriz, Talila, Tesha, Tezila, Valindara, Yonan","Augustin, Briasol, Chantalle, Edmund, Gail, Hanna, Ishina, Iwan, Jessica, Larek, Odemara, Oiriz, Talila, Tesha, Tezila, Valindara, Yonan","2 can be obtained from the [[Skull of Ratha Quest]], 4 can be obtained from the [[Lone Medusa Quest]] and 10 can be obtained from the [[Wrath of the Emperor Quest]]. Can also be obtained from [[Gooey Mass]]es.<br />\n1 is needed for [[The Queen of the Banshees Quest]].",-,-,-,-,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Black Shield,a,black shield,?,3429,Body Equipment,Shields,Shield Hand,4.0,no,yes,yes,-,-,-,-,-,-,42.00,no,yes,Bruise Payne | Furious Scorpion | Lost Basher | Lost Berserker | Magma Crawler | Mummy | Mutated Bat | Priestess | Sandstone Scorpion | Thanatursus | Werehyaena Shaman | Wiggler,500 - 800,800,0,-,"Alesar, H.L.: 5","Often sold for a lower price on the [[Market]]. The Black Shield used to be quite rare, but became more common with recent updates.",-,18,-,-,-,-,An unholy creature covers the shield.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blank Rune,a,blank rune,?,3147,Other Items,Magical Items,-,4.0,no,yes,yes,-,-,-,-,-,-,2.10,yes,yes,Blightwalker | Broken Shaper | Clay Guardian | Dark Apprentice | Dark Magician | Dharalion | Diabolic Imp | Dwarf Geomancer | Earth Elemental | Elf Arcanist | Fernfang | Fire Devil | Grynch Clan Goblin | Hellfire Fighter | Lesser Fire Devil | Lost Soul | Memory of an Elf | Minotaur Hunter | Phantasm | Spectre | Stalker,10,10,10,"Alexander, Asima, Chartan, Chuckles, Fenech, Frans, Frederik, Ghorza, Gnomegica, Khanna: 20, Hamish, Mordecai, Nelly, Rabaz, Rachel, Rock In A Hard Place, Romir, Shiriel, Siflind, Sigurd, Tandros, Topsy, Xodet",A Prisoner;sayname,"[[Druid]]s, [[Sorcerer]]s and [[Paladin]]s can use blank runes to create spell [[runes]]. Since [[Updates/8.6|Summer Update 2010]], it is not necessary to have the blank rune in your hand, you can simply have it in your backpack and then cast the rune spell.<br />Say ''sell rune'' to NPC [[A Prisoner]] and he will tell you he is willing to buy this item off you for 50,000 gp. He ends up paying you a mere 10 gp once you go through with the trade, though.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blessed Ankh,a,blessed ankh,?,3214,Other Items,Quest Items,-,7.24,no,yes,yes,-,-,-,-,-,-,4.20,No,yes,-,"1,000 - 3,000",0,0,-,-,"[[Decoration]], although you can perform the ""use with"" action with it.<br />\nLooks the same as the [[Ankh]].\nObtained in the [[The White Raven Monastery Quest]].",-,-,-,yes,-,-,You see the engraving of a white raven on its surface.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blessed Shield,a,blessed shield,?,3423,Body Equipment,Shields,Shield Hand,5.1,no,yes,yes,-,-,-,-,-,-,68.00,no,yes,-,Negotiable,650,0,-,H.L.,-,"* This shield used to be one of the best in [[Tibia]]. \n* It has been gifted a few times by the [[Tibian Gods#Creators|Gods]] to those they deemed worthy.\n* This exceptional shield is not normally obtainable in-game; as it is bestowed exclusively as a gift from the [[Gods]]. After years of uncertainty about its existence, the legendary shield resurfaced on [[Antica]].\n* The very first Blessed Shield on Antica was a gift from the gods to {{character|Elleshar}} in appreciation for his contribution to game graphics. Elleshar sold the shield to {{character|Muesli}} with the promise of never selling it again, but later broke that promise by auctioning it. Among the bidders were {{character|Yi}}, {{character|Slayn}}, and [[Lightbringer]], who ultimately bought it.\n* Initially, the shield had a defense rating of 50, which was reduced to 40 with [[Updates/7.0|Update 7.0]]. \n* Until [[Updates/11.80|Summer Update 2018]], it held the highest defense rating in the game.\n* On June 15, 2022, the shield was sold via [[Market]] by Karr Chaos ({{Character|Nathquata}}) to {{Character|Rei de Lutabra}} for 12 billion [[Gold Coin]]s. Rei transferred the shield to [[Lutabra]] the following day.\n\n==== Gallery ====\n<gallery>\nLord_Karr_Blessed_Shield.jpg|Owned by {{Character|Lord Karr}} from May 18th, 2019 to June 15, 2022.\nLeifLogetOlssonBlessedShield.png|In the hands of {{Character|Leif Loget Olsson}}.\nBlessed_one.jpg|In {{Character|Gryphee}}'s house together with a [[Ball Gown]] and a [[Bronze Necklace]].\nHellgate Treasure Room.png|[[Treasure Rooms#Hellgate Treasure Chamber|Hellgate Treasure Chamber]]\nBlessed.jpg|A really old pic - {{Character|Lightbringer}} and his shield\n</gallery>",40,-,-,-,-,The shield grants divine protection.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blood,a,vial of blood,vials of blood,-,"Plants, Animal Products, Food and Drink",Liquids,-,3.0,no,-,yes,-,-,-,-,-,-,1.80,no,-,-,0,0,15,Sandra;vial,-,"Blood is normally useless (except for keeping us alive), only has use in some [[quests]]. You can get it by 'using' a liquid [[Container]] on a monster corpse who is not undead or invertebrate. For example, you won't get blood from [[skeleton]]s, but you will get blood from [[hunter]]s or [[bear]]s.\nItem used in [[The Pits of Inferno Quest]], [[The Queen of the Banshees Quest]], [[Blood Brothers Quest]] and [[Unnatural Selection Quest]].",-,-,-,-,-,{{Sound List|Gulp.}},-,-,-,-,-,-,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blood Herb,a,blood herb,?,3734,"Plants, Animal Products, Food and Drink",Plants and Herbs,-,6.0,no,yes,yes,-,-,-,-,-,-,1.20,yes,yes,-,"500 - 25,000",500,0,-,Chondur,"Often used in [[house]] decoration. It is a rare herb, due to its botanical property. Amongst the witches, it is widely known that a blood herb sucks all the life force from a tree leaving it dead. Putting 10 [[Coconut]]s under a Blood Herb will make a nice decoration background. In earlier times it also used to spawn at the [[Black Knight]] everyday.<br />\nThis can only be obtained in [[Venore]] swamps through the [[Blood Herb Quest]]. \nCan be handed over to [[Wyda]] during the [[Bored Mini World Change]] for a chance to get a [[Torn Teddy]].",This [[Plants and Herbs|herb]] used to look like this until [[Updates/7.6|Christmas Update 2005]]: [[File:Blood Herb (Old).gif]],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blood Orb,a,blood orb,blood orbs,3251,Other Items,Magical Items,-,7.3,no,yes,yes,-,-,-,-,-,-,0.70,-,no,-,Negotiable,0,0,-,-,"You can see it in the [[Ferumbras Citadel]] treasure room, in [[Pythius the Rotten]]'s treasure room or across lava at the [[Green Djinn]] of the [[Serpentine Tower]]. It has the same sprite as a lava bubble in lava. This is believed to be an [[Unobtainable Items|Unobtainable Item]].",-,-,-,-,-,-,(This item has 2 charges left).,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blue Gem,a,blue gem,?,3041,Other Items,Valuables,-,7.3,no,yes,yes,-,-,-,-,-,-,0.30,yes,yes,Alptramun | Amenef the Burning | Ancient Spawn of Morgathla | Annihilon | Anomaly | Branchy Crawler | Breach Brood | Capricious Phantom | Carnivostrich | Chizzoron the Distorter | Cliff Strider | Cloak of Terror | Count Vlarkorth | Crazed Winter Rearguard | Crazed Winter Vanguard | Dawnfire Asura | Defiler | Dipthrah | Druid's Apparition | Drume | Duke Krule | Earl Osam | Eradicator | Faceless Bane | Fahim the Wise | Feral Sphinx | Feroxa | Ferumbras | Ferumbras Mortal Shell | Frost Flower Asura | Gaz'haragoth | Ghazbaran | Ghulosh | Girtablilu Warrior | Glooth Fairy | Golgordan | Gorzindel | Goshnar's Cruelty | Goshnar's Greed | Goshnar's Hatred | Goshnar's Malice | Goshnar's Megalomania | Goshnar's Spite | Grimeleech | Guard Captain Quaid | Hand of Cursed Fate | Hazardous Phantom | Headpecker | Infernal Demon | Ink Blob | Ironblight | Izcandar Champion of Summer | Izcandar Champion of Winter | Izcandar the Banished | Katex Blood Tongue | King Zelos | Lady Tenebris | Lamassu | Latrivan | Lloyd | Lord Azaram | Lumbering Carnivor | Makara | Malofur Mangrinder | Many Faces | Marid | Maxxenius | Mazoran | Megasylvan Yselda | Melting Frozen Horror | Midnight Asura | Minotaur Invader | Misguided Bully | Morgaroth | Mould Phantom | Ogre Rowdy | Ogre Ruffian | Orshabaal | Outburst | Paiz the Pauperizer | Paladin's Apparition | Plagueroot | Ravenous Hunger | Razzagorn | Realityquake | Rupture | Scarlett Etzel | Shulgrax | Sir Baeloc | Sorcerer's Apparition | Soul of Dragonking Zyrtarch | Sparkion | Sphinx | Srezz Yellow Eyes | Tarbaz | Terofar | Thaian | The Baron from Below | The Blazing Time Guardian | The Count of the Core | The Duke of the Depths | The Enraged Thorn Knight | The False God | The Freezing Time Guardian | The Last Lore Keeper | The Monster | The Moonlight Aster | The Nightmare Beast | The Pale Count | The Sandking | The Scourge of Oblivion | The Souldespoiler | The Source of Corruption | The Time Guardian | The Unarmored Voidborn | The Winter Bloom | True Dawnfire Asura | True Frost Flower Asura | True Midnight Asura | Tunnel Tyrant | Turbulent Elemental | Undead Dragon | Urmahlullu the Weakened | Ushuriel | Usurper Knight | Venerable Girtablilu | Vibrant Phantom | World Devourer | Yirkas Blue Scales | Young Goanna | Zamulosh | Zavarash | Zugurosh | Zulazza the Corruptor | Zushuka | Kusuma | Lokathmor | Mazzinor,"5,000 - 25,000",5000,0,-,"Augustin, Tamoril","Rarely seen in [[house]]s, and fetches quite a high value on several worlds, but the value has dropped since it is obtainable through [[quest]]s. Obtainable in [[The First Dragon Quest]] and the [[Wrath of the Emperor Quest]]. Also obtainable from a certain [[Children of the Revolution Quest/Spoiler#Daily Task: Zzuppliezz|daily task]], out of [[Mucus Plug]]s, and from [[Gnomish Supply Package]]s.",-,-,-,-,-,{{Sound List|}},-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blue Note,a,blue note,?,3236,Other Items,Quest Items,-,7.4,no,yes,yes,-,-,-,-,-,-,2.50,-,no,Vashresamun,Negotiable,0,0,-,-,Trade this item for a [[Left Horn]] (part of [[Helmet of the Ancients]]).,-,-,-,-,-,-,The blue crystal is softly humming a ghostly melody. It seems to be rotting rapidly.,24 hours,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blue Robe,a,blue robe,blue robes,3567,Body Equipment,Armors,Body,6.6,no,yes,yes,-,-,2,2,-,11,22.00,no,yes,Banshee | Countess Sorrow | Enlightened of the Cult | Feversleep | Frost Flower Asura | Girtablilu Warrior | Gravelord Oshuran | Hellgorak | Horadron | Lich | Lumbering Carnivor | Midnight Asura | Quara Mantassin | Renegade Quara Mantassin | Spiky Carnivor | Terrorsleep | The Handmaiden | The Moonlight Aster | True Frost Flower Asura | True Midnight Asura | Vashresamun | Warlock | Zarabustor,"10,000 - 15,000",10000,0,-,Nah'Bob,"It's a decent armor for anyone looking to save capacity. It can be used by any vocation but there are usually better armors available.\n\n*[[Paladin]]s can use [[Paladin Armor]].\n*[[Druid]]s and [[Sorcerer]]s can use [[Ethno Coat]], [[Spirit Cloak]], [[Focus Cape]].\n*[[Knight]]s can use [[Golden Armor]], [[Dragon Scale Mail]], [[Demon Armor]].\nIt may be a good option for a low-level knight who only blocks more damage in armor upgrades, while the other vocations improve their skills to deal more damage. The extra capacity will allow the knight to carry more potions.\n\nIt was very attractive for [[Mage]]s before the [[Updates/8.2|Summer Update 2008]]. Most mages now prefer to use a [[Spirit Cloak]] or [[Focus Cape]] for the extra [[Magic Level]] although [[Spirit Cloak]]s are heavier and have less defense and [[Focus Cape]]s have less defense but is lighter. On the [[Test Server]] ([[Updates/8.2|8.2]]), Blue Robe added an extra [[Magic Level]], however the convenience was removed after the Test Server. Many people believed that these robes increased magic damage by 25%, however this rumor was (and is) false.\nObtainable in the [[Medusa Shield Quest]].","Some say this magical robe was found in a Cyclops in 6.4. It just said ""Blue Robe"" with the attributes of a Cape. Some think it was hackers who put it in. It wasn't until 7.4 that this ""Blue Robe"" was put in the game as a new item.",-,-,-,-,{{Sound List|}},It is a magic robe.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blue Rose,a,blue rose,?,3659,"Plants, Animal Products, Food and Drink",Plants and Herbs,-,6.0,no,yes,yes,-,-,-,-,-,-,0.80,yes,yes,Blue Djinn | Nymph,0 - 350,250,0,-,"Gnomission, Talila:200, Valindara:200","Semi rare item.<br />\nIt can be seen on the table at [[Venore]]'s foodstore.\nIt can be found at daily spawns in [[Fibula Dungeon]], [[Ab'Dendriel]] and on [[Venore]]'s food and flowers shop.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blue Spell Wand,a,blue spell wand,-,-,Weapons,Wands,-,4.0,no,-,yes,-,-,-,-,-,-,23.00,-,-,Orc Shaman,"1,000 - 2,000",0,1600,Alexander,-,This wand was transformed into the [[Wand of Vortex]] in the [[Updates/7.6|Winter Update 2005]]. This item no longer exists in game.,-,-,-,-,deprecated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blue Tapestry,a,blue tapestry,-,2659,Household Items,Decorations,-,7.4,no,yes,yes,-,-,-,-,-,-,10.00,no,yes,Marid,25,0,25,"Dorbin, Eddy, Edvard, Feizuhl, Gamon, Hofech, Iwar, Janz, Nicholas, Nydala, Peggy, Ukea, Velvet, Vera, Yoem",-,See [[Tapestries]] for more information about other types and colors of tapestries.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Wall Hangings,-,-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blue Tome,a,blue tome,blue tomes,2850,Household Items,Books,-,6.4,no,yes,yes,-,-,-,-,-,-,19.00,-,yes,Ghazbaran,"25,000,000 - 30,000,000",0,0,-,-,"One of the 5 volumes of [[The Mystic Secrets of Tibia]]. Blue Tomes are obtainable only as a gift from the [[Tibian Gods#Creators|gods]], bought from players on older game worlds or as a reward from contests of [[Supported Tibia Fansites|supported]] and [[Promoted Tibia Fansites|promoted fansites]]. \nSince [[Updates/8.4]] Blue Tome can be looted from [[Ghazbaran]].\nWas first looted in [[Danera]] by {{character|Nerd Din}} (01/01/09).\nWas also looted in [[Hiberna]] by {{character|Savage Funkstar}}.","This item used to be obtainable in two ways. The first way was to pick it up near the current [[Life Ring Quest]], where it spawned once per map reset. The other way to obtain this item was as a reward from the [[Demon Legs Quest]] in the [[Hero Cave]] – this one was also supposed to spawn once per map reset, but on [[Antica]] there was a bug causing the rewards to respawn every day instead. As a result there are far more Blue Tomes on Antica than on any other world.",-,-,-,-,-,It's a volume of The Mystic Secrets of Tibia.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Blueberry,a,blueberry,?,3588,"Plants, Animal Products, Food and Drink",Food,-,7.1,no,yes,yes,-,-,-,-,-,-,0.20,yes,yes,Fahim the Wise | Marid,1,0,1,"Alissa, Ariella, Livielle, Serafin",Lily: 0.2;5x,"They can be picked in the wild on [[Blueberry Bush]]es, before you can pick them you need to ""Use"" the bush. There should be only 3 berries left to pick. Still, sometimes other players ""use"" the Blueberry Bush and don't take them with themselves. Thus, there can be up to six blueberries in a bush. One hour is needed since the last player that used the bush for it to grow back the blueberries.<br />\nIt looks the same as a [[Headache Pill]].\nAfter using [[Blueberry Bush]]es 500 times, you will earn the achievement [[Bluebarian]].",-,-,-,yes,-,{{Sound List|Yum.}},-,-,-,0.2,0,-,-,-,-,-,yes,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bolt,a,bolt,?,3446,Weapons,Ammunition,-,3.0,no,yes,yes,0,-,-,-,-,-,0.80,yes,yes,Dwarf Soldier | Elder Forest Fury | Forest Fury | Minotaur Archer | Minotaur Poacher | Vicious Squire,1-2,0,4,"Asnarus, Brengus, Cedrik, Coltrayne, Dario, Edoch, Eliyas, Galuna, Gnomerrow, Irea, Maun, Mugruu, Perac, Perod, Pompan, Robert, Rock In A Hard Place, Silas, Taegen, Talphion, Timur, Uzgod, Vincent, Willard, Xed",-,"Bolts are projectiles, fired with any type of [[Two-Handed Distance Weapons|Crossbow]], usually by [[Paladin]]s. Until the [[Updates/8.0|Summer Update 2007]] - which introduced the new spears - they were the most popular ammunition of [[Paladin]]s.","Before the [[Updates/11.40|Summer Update 2017]], [[Paladin]]s were able to create 5 of these using the [[Conjure Bolt]] spell.",-,-,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bone,a,bone,bones,3115,Other Items,Rubbish,-,6.0,no,yes,yes,-,-,-,-,-,-,9.50,yes,yes,Animated Guzzlemaw | Bonebeast | Brittle Skeleton | Crypt Shambler | Crypt Warrior | Dark Carnisylvan | Demon (Goblin) | Dreadbeast | Dworc Voodoomaster | Feverish Citizen | Frazzlemaw | Goblin | Goblin Assassin | Goblin Leader | Goblin Scavenger | Grand Master Oberon | Guzzlemaw | Hulking Carnisylvan | Jailer | Memory of a Frazzlemaw | Muglex Clan Assassin | Muglex Clan Footman | Muglex Clan Scavenger | Oodok Witchmaster | Pirate Skeleton | Skeleton | Skeleton Elite Warrior | Skeleton Warrior | Tomb Servant | Two-Headed Turtle | Undead Mine Worker | Weakened Frazzlemaw,0,0,0,-,-,Has no practical use.<p>\nYou need 20 bones in the [[Postman Quest]].</p>,-,-,-,-,-,{{Sound List|}},-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bone Club,a,bone club,?,3337,Weapons,Club Weapons,Weapon Hand,7.4,no,yes,yes,0,-,-,1,-,-,39.00,-,yes,Bonebeast | Demon (Goblin) | Dreadbeast | Goblin | Goblin Assassin | Goblin Leader | Goblin Scavenger | Muglex Clan Assassin | Muglex Clan Footman | Muglex Clan Scavenger | Munster | Necropharus | Orger | Pirate Skeleton | Salamander Trainer | Troll-Trained Salamander,25 - 100,5,0,-,"Baltim, Brengus, Cedrik, Coltrayne: 5, Esrik, Flint, Gamel, Habdel, Hardek, Lee'Delle, Memech, Morpel, Obi, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard",Not very useful. Considered a rare to some on [[Rookgaard]]. Part of [[Bone Set]].,With the [[Updates/9.5|spring patch 2012]] the sprite of Bone Club changed from [[File:Bone Club (Old).gif]] to [[File:Bone Club.gif]].,8,-,yes,-,-,It apparently originally belonged to some lesser undead.,-,12,5,0,One,Club,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bone Key,a,bone key,bone keys,2973,Tools and other Equipment,Keys,-,6.0,no,yes,yes,-,-,-,-,-,-,1.00,-,-,-,Negotiable,0,0,-,-,"For a list of bone keys, see [[Keys by Type/Bone Key]].<br>Looks the same as a [[Goblin Bone Key]] and [[Omrabas' Bone Key]].",-,-,-,yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bone Shield,a,bone shield,?,3441,Body Equipment,Shields,Shield Hand,7.4,no,yes,yes,-,-,-,-,-,-,55.00,no,yes,Bonebeast | Chakoya Toolshaper | Chakoya Tribewarden | Chakoya Windcaller | Crypt Shambler | Dreadbeast | Dworc Fleshhunter | Loricate Orger | Necropharus | Ocyakao | Orger | Ribstride | Tomb Servant,80,80,0,-,Rashid,Used to be a rare shield on mainland. Often can be seen lying on the floor in [[Ankrahmun]] [[tomb]]s and [[Mount Sternum]]. It is part of the [[Bone Set]].,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bone Sword,a,bone sword,?,3338,Weapons,Sword Weapons,Weapon Hand,7.4,no,yes,yes,0,-,-,1,-,-,19.00,-,yes,Braindeath | Cobra Assassin | Crypt Shambler,20,20,75,"Baltim, Brengus, Cedrik, Esrik, Flint, Gamel, Habdel, Hardek, Memech, Morpel, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard","Baltim, Brengus, Cedrik, Esrik, Flint, Gamel, Habdel, Hardek, Memech, Morpel, Robert, Rock In A Hard Place, Romella, Rowenna, Sam, Shanar, Turvy, Ulrik, Uzgod, Willard",Part of the [[Bone Set]].,-,10,-,yes,-,-,-,-,13,-,-,One,-,no,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
